Player,Pos,School,Ht_cm,Wt_kg,College,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Kelly Bryant,QB,Missouri,187.5,103.05,College Stats,4.69,35.0,,125.0,7.33,4.51,
Joe Burrow,QB,LSU,187.5,99.45,College Stats,,,,,,,Cincinnati Bengals / 1st / 1st pick / 2020
Kevin Davidson,QB,Princeton,190.0,100.8,,5.0,28.0,,109.0,7.13,4.37,
Jacob Eason,QB,Washington,195.0,103.95,College Stats,4.89,27.5,,110.0,7.5,4.75,Indianapolis Colts / 4th / 122nd pick / 2020
Jake Fromm,QB,Georgia,185.0,98.55,College Stats,5.01,30.0,,111.0,7.27,4.51,Buffalo Bills / 5th / 167th pick / 2020
Anthony Gordon,QB,Washington State,185.0,92.25,College Stats,,,,,,,
Justin Herbert,QB,Oregon,195.0,106.2,College Stats,4.68,35.5,,123.0,7.06,4.46,Los Angeles Chargers / 1st / 6th pick / 2020
Jalen Hurts,QB,Oklahoma,182.5,99.9,College Stats,4.59,35.0,,125.0,,,Philadelphia Eagles / 2nd / 53rd pick / 2020
Brian Lewerke,QB,Michigan State,185.0,95.85,College Stats,4.95,31.0,,113.0,7.14,4.4,
Jordan Love,QB,Utah State,190.0,100.8,College Stats,4.74,35.5,,118.0,7.21,4.52,Green Bay Packers / 1st / 26th pick / 2020
Jake Luton,QB,Oregon State,195.0,100.8,College Stats,,,,,,,Jacksonville Jaguars / 6th / 189th pick / 2020
Cole McDonald,QB,Hawaii,187.5,96.75,College Stats,4.58,36.0,,121.0,7.13,4.52,Tennessee Titans / 7th / 224th pick / 2020
Steven Montez,QB,Colorado,190.0,103.95,College Stats,4.68,33.0,,117.0,7.25,4.43,
James Morgan,QB,Florida International,190.0,103.05,College Stats,4.89,29.0,,112.0,7.51,4.64,New York Jets / 4th / 125th pick / 2020
Shea Patterson,QB,Michigan,182.5,95.4,College Stats,4.71,31.0,,116.0,7.14,4.5,
Nate Stanley,QB,Iowa,190.0,105.75,College Stats,4.81,28.5,,108.0,7.26,4.48,Minnesota Vikings / 7th / 244th pick / 2020
Tua Tagovailoa,QB,Alabama,180.0,97.65,College Stats,,,,,,,Miami Dolphins / 1st / 5th pick / 2020
