Player,School,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
Tom brady,Michigan,29,395,638,61.9,4773,7.5,7.2,30,17,134.9
Marc bulger,West Virginia,38,630,1023,61.6,8153,8,7.6,59,34,140.9
Bill burke,Michigan State,40,416,766,54.3,5463,7.1,6.5,46,31,125.9
Chris chaloupka,Oklahoma State,26,74,166,44.6,990,6,6,9,4,107.7
Kevin feterik,Brigham Young,38,609,1004,60.7,8065,8,7.9,53,27,140.2
Joe hamilton,Georgia Tech,43,629,1020,61.7,8882,8.7,8.3,65,39,148.2
Todd husak,Stanford,36,465,872,53.3,6564,7.5,7.2,41,24,126.6
Jarious jackson,Notre Dame,36,306,536,57.1,4820,9,8.5,34,21,145.7
Doug johnson,Rice,36,87,185,47,1042,5.6,2.6,6,15,88.8
Tim lester,Western Michigan,44,875,1507,58.1,11299,7.5,7.2,87,49,133.6
Tee martin,Tennessee,38,326,588,55.4,4592,7.8,7.7,32,16,133.6
Chad pennington,Marshall,38,848,1334,63.6,11446,8.6,9.2,107,30,157.6
Tim rattay,Louisiana Tech,33,1015,1552,65.4,12746,8.2,8.7,115,35,154.3
Chris redman,Louisville,43,1031,1679,61.4,12541,7.5,7.1,84,51,134.6
Jonathan beasley,Kansas State,37,259,544,47.6,4642,8.5,8.3,33,18,132.7
Josh booty,LSU,20,307,623,49.3,3951,6.3,4.7,24,34,104.3
Drew brees,Purdue,45,1026,1678,61.1,11792,7,6.9,90,45,132.5
Quincy carter,Georgia,29,483,853,56.6,6447,7.6,7.1,35,25,127.8
Tim hasselbeck,Boston College,27,278,501,55.5,3890,7.8,7.5,29,16,133.4
Josh heupel,Oklahoma,24,615,972,63.3,7066,7.3,6.9,50,30,135.1
Ortege jenkins,Arizona,45,387,769,50.3,5409,7,6.6,42,26,120.7
Cleo lemon,Arkansas State,41,551,1128,48.8,7706,6.8,6.4,48,33,114.4
Mike mcmahon,Rutgers,35,482,974,49.5,6608,6.8,5.2,41,52,109.7
Romaro miller,Ole Miss,36,515,930,55.4,6513,7,6.4,45,33,123.1
Jesse palmer,Florida,27,254,479,53,3755,7.8,7.5,31,17,133.1
David rivers,Virginia,13,24,45,53.3,275,6.1,5.4,3,2,117.8
Sage rosenfels,Iowa State,30,306,587,52.1,4164,7.1,5.7,18,26,113
Marques tuiasosopo,Washington,42,418,761,54.9,5501,7.2,6.4,31,28,121.7
Michael vick,Virginia Tech,22,192,343,56,3299,9.6,9.4,21,11,150.6
Chris weinke,Florida State,36,650,1107,58.7,9839,8.9,9,79,32,151.1
David carr,Fresno State,36,565,901,62.7,7458,8.3,8.6,65,22,151.2
Ronald curry,North Carolina,37,345,695,49.6,4987,7.2,5.7,28,35,113.1
Rohan davey,LSU,25,286,478,59.8,4415,9.2,9,29,15,151.2
Brandon doman,Brigham Young,32,313,504,62.1,4354,8.6,8.8,35,14,152
Randy fasani,Stanford,36,188,369,50.9,2973,8.1,8.1,25,11,135
David garrard,East Carolina,44,666,1169,57,9029,7.7,7.2,60,39,132.1
Joey harrington,Oregon,34,512,928,55.2,6911,7.4,7.6,59,23,133.8
Kurt kittner,Illinois,42,668,1229,54.4,8460,6.9,6.7,66,33,124.5
Josh mccown,SMU,30,340,664,51.2,4022,6.1,4.6,27,34,105.3
David neill,Nevada,40,763,1376,55.5,10903,7.9,7.9,73,33,134.7
Patrick ramsey,Tulane,35,798,1355,58.9,9205,6.8,6.2,72,51,126
Greg zolman,Vanderbilt,40,596,1156,51.6,7981,6.9,5.8,41,46,113.3
Brad banks,Iowa,23,211,362,58.3,3155,8.7,9.5,30,7,155
Josh blankenship,Tulsa,31,443,844,52.5,5273,6.2,5,21,32,105.6
Kyle boller,California,43,622,1301,47.8,7980,6.1,5.5,64,48,108.2
D bryant,Duke,22,316,642,49.2,3902,6.1,4.7,16,27,100.1
Ken dorsey,Miami (FL),41,668,1153,57.9,9565,8.3,8.7,86,28,147.4
Jason gesser,Washington State,40,611,1118,54.7,8830,7.9,7.6,70,39,134.7
Rex grossman,Florida,35,677,1110,61,9164,8.3,8.2,77,36,146.7
Kliff kingsbury,Texas Tech,43,1231,1883,65.4,12429,6.6,6.7,95,40,133.2
Byron leftwich,Marshall,61,939,1442,65.1,11903,8.3,8.6,89,28,150.9
Carson palmer,USC,53,927,1569,59.1,11818,7.5,7,72,49,131.2
Dave ragone,Louisville,41,685,1180,58.1,8564,7.3,7.4,74,29,134.8
Chris simms,Texas,41,535,911,58.7,7097,7.8,7.5,58,31,138.4
Seneca wallace,Iowa State,25,411,712,57.7,5289,7.4,6.5,26,27,124.6
Casey clausen,Tennessee,45,775,1270,61,9707,7.6,7.7,75,31,139.8
Jason fife,Oregon,29,260,496,52.4,3702,7.5,7.4,30,14,129.4
