Ht_cm,Wt_kg,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,y
187.5,96.75,4.61,31.5,,106.0,7.03,4.3,8.0,19.0,30.0,63.3,169.0,5.6,4.8,1.0,1.0,115.0,0
180.0,93.15,4.84,,,,,,52.0,921.0,1478.0,62.3,13166.0,8.9,9.3,121.0,41.0,158.6,1
185.0,100.35,4.71,34.5,,110.0,7.38,,25.0,424.0,665.0,63.8,5469.0,8.2,8.6,43.0,13.0,150.3,1
182.5,99.45,4.78,32.0,,108.0,7.14,4.33,45.0,603.0,1027.0,58.7,7548.0,7.3,7.1,52.0,29.0,131.5,0
187.5,98.1,4.71,34.5,22.0,128.0,6.93,4.08,18.0,98.0,192.0,51.0,1215.0,6.3,7.6,14.0,1.0,127.2,1
187.5,99.0,4.94,28.0,,99.0,7.18,4.34,53.0,686.0,1026.0,66.9,9019.0,8.8,9.6,77.0,15.0,162.5,1
185.0,94.95,4.96,28.0,,112.0,7.22,4.19,46.0,848.0,1451.0,58.4,10913.0,7.5,7.2,76.0,43.0,133.0,1
190.0,97.65,4.71,32.0,,113.0,6.82,3.96,,,,,,,,,,,1
190.0,103.05,4.85,,,,,,44.0,791.0,1278.0,61.9,9360.0,7.3,7.7,79.0,25.0,139.9,1
190.0,105.3,4.59,36.0,,124.0,6.8,4.28,38.0,713.0,1064.0,67.0,9430.0,8.9,9.5,82.0,22.0,162.8,1
195.0,104.85,4.86,,,,,,48.0,777.0,1416.0,54.9,10617.0,7.5,7.6,85.0,36.0,132.6,1
185.0,96.75,4.83,29.5,,106.0,6.93,4.27,50.0,812.0,1317.0,61.7,10314.0,7.8,7.9,71.0,30.0,140.7,1
180.0,103.95,5.03,26.5,,100.0,7.47,4.62,46.0,540.0,923.0,58.5,5789.0,6.3,5.9,38.0,24.0,119.6,0
190.0,103.95,5.07,26.5,16.0,108.0,7.43,4.6,37.0,460.0,821.0,56.0,5275.0,6.4,6.1,31.0,19.0,117.8,0
180.0,94.5,4.81,29.5,,112.0,7.18,4.48,27.0,359.0,607.0,59.1,5045.0,8.3,7.9,36.0,21.0,141.6,0
185.0,98.55,4.69,31.0,,109.0,6.73,4.11,46.0,933.0,1527.0,61.1,10892.0,7.1,7.4,83.0,27.0,135.4,0
182.5,96.75,4.84,29.0,,111.0,7.0,4.28,48.0,1026.0,1497.0,68.5,14607.0,9.8,10.6,131.0,30.0,175.4,1
190.0,101.7,4.57,32.5,,114.0,6.94,4.26,,,,,,,,,,,0
185.0,99.9,4.72,33.0,,108.0,7.41,4.34,,,,,,,,,,,0
192.5,108.45,4.75,,,,,,38.0,854.0,1304.0,65.5,10829.0,8.3,8.4,84.0,34.0,151.3,1
187.5,100.35,4.68,24.5,18.0,109.0,,,35.0,483.0,803.0,60.1,5616.0,7.0,6.2,31.0,28.0,124.7,0
190.0,92.7,5.03,28.5,,107.0,7.46,4.42,40.0,416.0,766.0,54.3,5463.0,7.1,6.5,46.0,31.0,125.9,0
187.5,104.85,4.94,,,109.0,7.07,4.38,,,,,,,,,,,1
180.0,94.5,4.9,,,,,,31.0,529.0,822.0,64.4,6378.0,7.8,7.8,59.0,25.0,147.1,1
190.0,105.3,4.61,33.5,,120.0,6.84,4.26,31.0,568.0,933.0,60.9,6822.0,7.3,7.3,40.0,18.0,132.6,1
192.5,104.4,4.93,32.5,,115.0,7.08,4.21,37.0,585.0,891.0,65.7,7598.0,8.5,8.8,56.0,19.0,153.8,1
177.5,98.1,4.57,30.5,,115.0,,,37.0,275.0,430.0,64.0,3731.0,8.7,9.0,30.0,10.0,155.2,0
177.5,90.45,4.67,33.5,,112.0,,,23.0,211.0,362.0,58.3,3155.0,8.7,9.5,30.0,7.0,155.0,0
190.0,96.3,,,,,,,38.0,720.0,1188.0,60.6,9968.0,8.4,8.6,69.0,24.0,146.2,1
190.0,103.05,4.97,29.0,,112.0,7.17,4.55,,,,,,,,,,,1
185.0,103.95,4.98,33.5,,115.0,6.89,4.11,38.0,424.0,778.0,54.5,6165.0,7.9,7.1,37.0,30.0,129.0,1
190.0,104.4,4.73,,24.0,,,,49.0,929.0,1602.0,58.0,11762.0,7.3,7.4,95.0,39.0,134.4,1
182.5,97.65,4.84,28.0,,110.0,7.06,4.33,42.0,583.0,1016.0,57.4,7463.0,7.3,7.5,64.0,26.0,134.8,1
190.0,103.05,4.72,33.0,,110.0,7.18,4.37,20.0,189.0,373.0,50.7,2325.0,6.2,5.9,16.0,10.0,111.8,0
185.0,94.5,4.81,32.5,,106.0,6.9,4.08,32.0,313.0,504.0,62.1,4354.0,8.6,8.8,35.0,14.0,152.0,1
187.5,95.85,5.22,27.0,,103.0,7.49,4.52,43.0,1023.0,1491.0,68.6,12855.0,8.6,9.1,111.0,34.0,161.0,1
187.5,99.45,4.89,,,,,,30.0,767.0,1103.0,69.5,9260.0,8.4,8.7,75.0,27.0,157.6,1
182.5,99.0,4.76,34.0,,114.0,6.75,4.22,47.0,913.0,1584.0,57.6,10580.0,6.7,6.2,44.0,36.0,118.4,0
187.5,101.7,4.63,36.0,,120.0,6.93,3.98,40.0,837.0,1241.0,67.4,9966.0,8.0,8.3,75.0,25.0,150.8,1
185.0,94.5,4.91,33.0,,116.0,7.1,4.29,50.0,1035.0,1617.0,64.0,13578.0,8.4,8.7,90.0,29.0,149.3,0
187.5,103.5,4.81,30.0,,115.0,7.13,4.55,44.0,780.0,1185.0,65.8,10775.0,9.1,9.4,71.0,24.0,157.9,1
185.0,96.75,5.02,32.0,,109.0,7.1,4.42,39.0,500.0,896.0,55.8,6159.0,6.9,6.5,35.0,23.0,121.3,0
187.5,98.1,4.82,30.0,,106.0,,,,,,,,,,,,,0
182.5,99.45,4.83,29.0,,109.0,7.49,4.54,37.0,459.0,787.0,58.3,5752.0,7.3,7.0,45.0,25.0,132.2,0
197.5,108.9,4.83,,,,,,25.0,412.0,680.0,60.6,5082.0,7.5,7.5,33.0,15.0,135.0,1
185.0,92.25,4.88,30.5,,104.0,7.34,4.25,39.0,488.0,869.0,56.2,6382.0,7.3,7.1,41.0,22.0,128.4,1
180.0,117.0,5.12,27.5,,94.0,7.97,4.76,,,,,,,,,,,0
182.5,97.65,4.59,34.0,,107.0,7.12,4.16,49.0,766.0,1123.0,68.2,9225.0,8.2,8.6,85.0,27.0,157.4,1
185.0,94.95,4.81,37.0,,125.0,7.13,4.2,18.0,45.0,83.0,54.2,580.0,7.0,7.5,9.0,3.0,141.5,0
180.0,101.25,4.71,33.0,,113.0,6.97,4.08,48.0,490.0,833.0,58.8,6508.0,7.8,7.3,48.0,31.0,136.0,0
187.5,103.5,4.87,34.0,,121.0,6.91,4.13,37.0,530.0,845.0,62.7,8195.0,9.7,10.6,62.0,10.0,166.0,1
187.5,102.6,4.87,25.5,,108.0,7.22,4.3,35.0,668.0,1005.0,66.5,8221.0,8.2,8.3,64.0,25.0,151.2,0
192.5,108.45,4.85,,,,,,61.0,939.0,1442.0,65.1,11903.0,8.3,8.6,89.0,28.0,150.9,1
