,0
Tom Brady,
Travis Brown,
Marc Bulger,
Bill Burke,
Giovanni Carmazzi,
Chris Chaloupka,
Kevin Feterik,
Joe Hamilton,
Todd Husak,
Jarious Jackson,
Doug Johnson,
Tim Lester,
Tee Martin,
Leon Murray,
Chad Pennington,
Tim Rattay,
Chris Redman,
Spergon Wynn,
Jonathan Beasley,
Josh Booty,
Drew Brees,
Quincy Carter,"<div class=""media-item""><img alt=""Photo of Quinton Carter"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/CartQu01_2019.jpg""/>
</div>"
Justin Coleman,"<div class=""media-item""><img alt=""Photo of Justin Coleman"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/ColeJu01_2020.jpg""/>
</div>"
Shane Griggs,
Tim Hasselbeck,
Josh Heupel,
Ortege Jenkins,
Cleo Lemon,
Mike McMahon,
Romaro Miller,
Jesse Palmer,
David Rivers,
Sage Rosenfels,
Marques Tuiasosopo,
Michael Vick,
Chris Weinke,
David Carr,
Ronald Curry,
Woody Dantzler,
Rohan Davey,
Brandon Doman,
Randy Fasani,
David Garrard,
Joey Harrington,
Kurt Kittner,
Josh McCown,"<div class=""media-item""><img alt=""Photo of Josh McCown"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/McCoJo01_2018.jpg""/>
</div>"
David Neill,
J.T. O'Sullivan,
Patrick Ramsey,
Greg Zolman,
Brad Banks,
Josh Blankenship,
Kyle Boller,
D. Bryant,
Ken Dorsey,"<div class=""media-item""><img alt=""Photo of Kevin Dorsey"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/DorsKe01_2019.jpg""/>
</div>"
Jason Gesser,
Rex Grossman,
Kliff Kingsbury,
Byron Leftwich,
Carson Palmer,
Brian Saint Pierre,
Dave Ragone,
Tony Romo,
Chris Simms,
Seneca Wallace,
Juston Wood,
Casey Clausen,
Jason Fife,
Josh Harris,
Robert Kent,
Craig Krenzel,
Jared Lorenzen,
J.P. Losman,
Eli Manning,
Matt Mauck,
Luke McCown,
John Navarre,
Bradlee Van Pelt,
Cody Pickett,
Scott Rislov,
Philip Rivers,
Ell Roberson,
Ben Roethlisberger,
Rod Rutherford,
Matt Schaub,"<div class=""media-item""><img alt=""Photo of Max Scharping"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/SchaMa01_2020.jpg""/>
</div>"
Jeff Smoker,
B.J. Symons,
Jared Allen,"<div class=""media-item""><img alt=""Photo of Javorius Allen"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/AlleJa01_2019.jpg""/>
</div>"
Derek Anderson,
Brock Berlin,
Jason Campbell,
Timmy Chang,
Ben Dougherty,
Ryan Fitzpatrick,
Charlie Frye,
David Greene,
Gino Guidugli,
Josh Haldi,
Stefan LeFors,
Dustin Long,
Adrian McPherson,
Craig Ochs,
Dan Orlovsky,
Kyle Orton,
Bryan Randall,
Chris Rix,
Aaron Rodgers,
Alex Smith,"<div class=""media-item""><img alt=""Photo of Al Smith"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/SmitAl01_2017.jpg""/>
</div>"
Andrew Walter,"<div class=""media-item""><img alt=""Photo of Anthony Walters"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/WaltAn01_2019.jpg""/>
</div>"
Jason White,
Brett Basanez,
Kellen Clemens,
Brodie Croyle,
Jay Cutler,
Bruce Eugene,
Bruce Gradkowski,
Darrell Hackney,
Tarvaris Jackson,
Omar Jacobs,
Matt Leinart,
Travis Lulay,
Ingle Martin,
Reggie McNeal,
Erik Meyer,
Barrick Nealy,
Drew Olson,
Paul Pinegar,
Quinton Porter,
D.J. Shockley,
Kent Smith,
Marcus Vick,
Charlie Whitehurst,
Vince Young,
John Beck,
Trent Edwards,"<div class=""media-item""><img alt=""Photo of Trent Edwards"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/EdwaTr01_2019.jpg""/>
</div>"
Luke Getsy,
Matt Gutierrez,
Kevin Kolb,
Toby Korrodi,
Chris Leak,
Tyler Palko,
Jordan Palmer,
James Pinkney,
Brady Quinn,
Jeff Rowe,
JaMarcus Russell,
Troy Smith,
Isaiah Stanback,
Drew Stanton,
John Stocco,
Josh Swogger,
Zac Taylor,
Jared Zabransky,
Erik Ainge,
John David Booty,
Colt Brennan,
Alex Brink,
Brian Brohm,
Dennis Dixon,
Joe Flacco,
Matt Flynn,
Chad Henne,"<div class=""media-item""><img alt=""Photo of Chad Henne"" itemscope=""image"" src=""https://www.pro-football-reference.com/req/20180910/images/headshots/HennCh01_2020.jpg""/>
</div>"
Josh Johnson,
Sam Keller,
Anthony Morelli,
Bernard Morris,
Kevin O'Connell,
T.C. Ostrander,
Matt Ryan,
Paul Smith,
Adam Tafralis,
